minute,arrival_HBW,arrival_HBE,arrival_HBA,arrival_HBS,arrival_HBR,arrival_HBO,arrival_NHBW,arrival_NHBO,duration_HBW,duration_HBE,duration_HBA,duration_HBS,duration_HBR,duration_HBO
852,0.000397188275079396,9.27632734122679e-05,0.00109240296684087,0.00146122779073542,0.00120717018219021,0.00133213596197458,0.00139414603280248,0.00170389381177423,9.16409828987163e-05,4.69159078349012e-06,4.39695691304582e-06,8.58913143624009e-07,3.46965363859563e-05,6.32820819917649e-06
853,0.000393653542999891,8.86012793593273e-05,0.00109777010018349,0.0014579796411553,0.00120325745271582,0.00133059154931194,0.00139379803648953,0.00170480539443505,9.01312204161125e-05,4.72327254554276e-06,4.29072213016967e-06,8.46185878814081e-07,3.46140548360629e-05,6.31603654168247e-06
854,0.000390119780794974,8.51470867235937e-05,0.00110312252013584,0.00145465147553911,0.00119933681897021,0.0013290021714274,0.00139345277256933,0.00170574027288692,8.86546052156615e-05,4.75749626029145e-06,4.1982787325086e-06,8.34848016075611e-07,3.45332036698509e-05,6.30528711287227e-06
855,0.000386596274193285,8.2516986040788e-05,0.00110845819327596,0.00145124225389324,0.00119540898333395,0.00132736704417092,0.00139311099030986,0.00170669713394242,8.72094506914665e-05,4.7953256464763e-06,4.11745148489032e-06,8.25103716854925e-07,3.44536516633269e-05,6.29555787895323e-06
856,0.000383089934445751,8.05390512439876e-05,0.00111377508072918,0.0014477510349579,0.00119147466079154,0.00132568543005885,0.00139277343517059,0.00170767462415458,8.57949604685346e-05,4.83703703590317e-06,4.0482082649894e-06,8.16947453315271e-07,3.43752307270862e-05,6.28643427453083e-06
857,0.000379607523914951,7.91962093879603e-05,0.00111907113952215,0.00144417351322962,0.00118753457877367,0.0013239566383462,0.00139244097367132,0.00170867135073314,8.44103533390752e-05,4.88293070903878e-06,3.98790860699734e-06,8.10307392273319e-07,3.42977892658661e-05,6.27734917091631e-06
858,0.000376158533940505,7.84635491549101e-05,0.00112434432395274,0.00144050743240463,0.00118358947698641,0.0013221800250557,0.00139211420487557,0.00170968588250423,8.30587461955302e-05,4.93402248196939e-06,3.93459698163535e-06,8.05344900098086e-07,3.42212170257497e-05,6.26787489187794e-06
859,0.00037275007918999,7.81772674205709e-05,0.00112959258697426,0.00143675702952048,0.00117964010722763,0.00132035499296379,0.00139179382613675,0.00171071700642693,8.17355647834512e-05,4.99040708132816e-06,3.88764134894214e-06,8.02151002470295e-07,3.41453221451337e-05,6.25747656094753e-06
860,0.000369384842729985,7.82834984807436e-05,0.0011348138815928,0.00143292178513073,0.00117568723319052,0.00131848099154374,0.00139148052129548,0.00171176373558094,8.04398317684407e-05,5.05196439818381e-06,3.84495812782319e-06,8.00565698454963e-07,3.40698700731568e-05,6.24562266480464e-06
861,0.000366067702438148,7.86722637473187e-05,0.00114000616227604,0.00142900127887487,0.00117173157936558,0.00131655751686617,0.00139117496040613,0.00171282352502641,7.91708313001694e-05,5.11935303328649e-06,3.80533812816556e-06,8.00663483520733e-07,3.39946871613088e-05,6.2319805770705e-06
862,0.000362808691703234,7.92153269196131e-05,0.00114516738637209,0.00142499518915616,0.0011677739881114,0.00131458411145738,0.00139087779947993,0.00171389479376336,7.79280992593503e-05,5.19245811641699e-06,3.76829409167663e-06,8.02604709503149e-07,3.39195959609113e-05,6.21614022655195e-06
863,0.000359610797056086,7.98150326500345e-05,0.00115029551553701,0.00142090329269747,0.00116381534029457,0.00131256036411565,0.00139058968024431,0.00171497592815177,7.67140587625024e-05,5.27064212580083e-06,3.7329026917265e-06,8.06117093398376e-07,3.38443772252861e-05,6.19725612257643e-06
864,0.000356473525482081,8.03575202075505e-05,0.00115538851716916,0.00141672546397552,0.00115985644661233,0.00131048590968624,0.00139031122991822,0.00171606528313382,7.55245251721647e-05,5.35399538476558e-06,3.69887280907109e-06,8.11162928493959e-07,3.37688442350747e-05,6.17520182911566e-06
865,0.000353399594592739,8.07560380304416e-05,0.00116044436584923,0.00141245816055828,0.00115589812843394,0.00130835723349367,0.00139004306100329,0.00171716118349557,7.43588462142468e-05,5.44212231912833e-06,3.66648663977348e-06,8.17924250000607e-07,3.36928171258275e-05,6.14969123463102e-06
866,0.00035039890478511,8.0878533632485e-05,0.00116546104478404,0.00140809991516124,0.00115194121752728,0.00130617701617373,0.00138978577109026,0.00171826192516737,7.32163839234943e-05,5.53393644734484e-06,3.63578164112432e-06,8.2602964442263e-07,3.36161169725173e-05,6.12022949420634e-06
867,0.000347469504450148,8.06942186380643e-05,0.00117043654725276,0.00140365598940875,0.00114798655577395,0.001303945248944,0.00138953994268062,0.00171936577656209,7.20971118125793e-05,5.62889948875329e-06,3.6071756550699e-06,8.35370709390058e-07,3.35384647117165e-05,6.08601414984621e-06
868,0.000344608825364241,8.0149702760231e-05,0.00117536887805389,0.00139912666398713,0.001144034994873,0.0013016617555544,0.00138930614302283,0.00172047097995038,7.10023233358684e-05,5.72619098501662e-06,3.58186822140913e-06,8.45978618244965e-07,3.34596913127854e-05,6.04730959731179e-06
869,0.000341817465681265,7.91610534287669e-05,0.00118025605495134,0.0013945123123296,0.00114008739603354,0.00129932640396912,0.00138908492396301,0.00172157575287181,6.99287744978558e-05,5.82451575127126e-06,3.56004221609007e-06,8.57536113636679e-07,3.33796778143979e-05,6.00386236883502e-06
870,0.000339104468514697,7.77920162322049e-05,0.00118509611011817,0.00138981339930754,0.0011361446296566,0.00129693910589491,0.00138887682180948,0.0017226780998475,6.88758877619092e-05,5.92281820673324e-06,3.54241268796978e-06,8.69847625548269e-07,3.32982596107139e-05,5.95492225550381e-06
871,0.000336463292234292,7.60374147446439e-05,0.00118988709157618,0.0013850304798118,0.0011322075750065,0.00129449981627257,0.00138868235721081,0.00172377603235162,6.78430991415974e-05,6.01965221210546e-06,3.53047305946365e-06,8.82785585737539e-07,3.32152200734347e-05,5.90040263109104e-06
872,0.00033389029301433,7.39326966060734e-05,0.00119462706462986,0.00138016419722689,0.0011282771198722,0.00129200853273243,0.00138850203504696,0.00172486777886259,6.68307137257367e-05,6.1138950054859e-06,3.52385457049215e-06,8.96088005886644e-07,3.31302280742315e-05,5.84054131701245e-06
